status,item,description,class,vendor,on_hand,on_order,committed,curr_avail,reorder_pt_netsuite,pref_stock_netsuite,qty_sold_period,daily_sales_rate,days_of_stock,days_until_reorder,suggested_order_qty
OUT_OF_STOCK,331614R,Strut,BARE,,0.0,48.0,0.0,0.0,16.0,16.0,1.0,0.016,0.0,0.0,0
OUT_OF_STOCK,333480L,Strut,BARE,,0.0,40.0,0.0,0.0,45.0,45.0,7.0,0.115,0.0,0.0,5
OUT_OF_STOCK,336335,Strut,BARE,,0.0,110.0,0.0,0.0,76.0,76.0,4.0,0.066,0.0,0.0,0
OUT_OF_STOCK,84809,Lift Support,CLIFT SUPPORT,,0.0,0.0,0.0,0.0,13.0,13.0,1.0,0.016,0.0,0.0,13
OUT_OF_STOCK,333567L,Strut,BARE,,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.016,0.0,0.0,7
OUT_OF_STOCK,333585L,Strut,BARE,,0.0,42.0,0.0,0.0,34.0,34.0,5.0,0.082,0.0,0.0,0
OUT_OF_STOCK,335808L,Strut,BARE,,0.0,0.0,0.0,0.0,11.0,11.0,2.0,0.033,0.0,0.0,11
OUT_OF_STOCK,333837R,Strut,BARE,,0.0,0.0,0.0,0.0,10.0,10.0,1.0,0.016,0.0,0.0,10
OUT_OF_STOCK,345951,Strut,BARE,,0.0,0.0,0.0,0.0,36.0,36.0,9.0,0.148,0.0,0.0,36
OUT_OF_STOCK,337079L,Strut,BARE,,0.0,0.0,0.0,0.0,9.0,9.0,1.0,0.016,0.0,0.0,9
OUT_OF_STOCK,2333945L,Complete Strut,FCS,,0.0,0.0,0.0,0.0,51.0,51.0,8.0,0.131,0.0,0.0,51
OUT_OF_STOCK,333985L,Strut,BARE,,0.0,0.0,0.0,0.0,30.0,30.0,4.0,0.066,0.0,0.0,30
OUT_OF_STOCK,2345453R,Complete Strut,FCS,,0.0,0.0,0.0,0.0,17.0,17.0,5.0,0.082,0.0,0.0,17
OUT_OF_STOCK,334057R,Strut,BARE,,0.0,48.0,0.0,0.0,39.0,39.0,4.0,0.066,0.0,0.0,0
OUT_OF_STOCK,355072,Strut,BARE,,0.0,0.0,0.0,0.0,46.0,46.0,7.0,0.115,0.0,0.0,46
OUT_OF_STOCK,Q4005,Air Spring,Air Suspension,,0.0,0.0,0.0,0.0,43.0,43.0,6.0,0.098,0.0,0.0,43
OUT_OF_STOCK,3337097,Complete Strut,FCS,,0.0,0.0,0.0,0.0,61.0,61.0,7.0,0.115,0.0,0.0,61
OUT_OF_STOCK,8346340,Complete Strut,FCS,,0.0,114.0,0.0,0.0,129.0,129.0,35.0,0.574,0.0,0.0,15
OUT_OF_STOCK,347459,Shock,BARE,,0.0,0.0,0.0,0.0,18.0,18.0,1.0,0.016,0.0,0.0,18
OUT_OF_STOCK,334221R,Strut,BARE,,0.0,48.0,0.0,0.0,32.0,32.0,2.0,0.033,0.0,0.0,0
OUT_OF_STOCK,337121R,Strut,BARE,,0.0,0.0,0.0,0.0,172.0,172.0,54.0,0.885,0.0,0.0,172
OUT_OF_STOCK,337231,Strut,BARE,,0.0,0.0,0.0,0.0,66.0,66.0,8.0,0.131,0.0,0.0,66
OUT_OF_STOCK,8346854,Complete Strut,FCS,,0.0,0.0,0.0,0.0,77.0,77.0,44.0,0.721,0.0,0.0,77
OUT_OF_STOCK,2334489R,Complete Strut,FCS,,0.0,0.0,0.0,0.0,72.0,72.0,48.0,0.787,0.0,0.0,72
OUT_OF_STOCK,80110,lift support,CLIFT SUPPORT,,0.0,0.0,0.0,0.0,158.0,158.0,22.0,0.361,0.0,0.0,158
OUT_OF_STOCK,E89025L,Powered lift support,Power Lift,,0.0,0.0,0.0,0.0,4.0,4.0,6.0,0.098,0.0,0.0,4
OUT_OF_STOCK,E89082L,Powered lift support,Power Lift,,0.0,0.0,0.0,0.0,48.0,48.0,10.0,0.164,0.0,0.0,48
OUT_OF_STOCK,80119R,lift support,CLIFT SUPPORT,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.279,0.0,0.0,17
OUT_OF_STOCK,94077,Electronic Strut,Air Suspension,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.016,0.0,0.0,1
OUT_OF_STOCK,94078,Electronic Strut,Air Suspension,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.016,0.0,0.0,1
OUT_OF_STOCK,334572R,Strut,BARE,,0.0,30.0,0.0,0.0,0.0,0.0,13.0,0.213,0.0,0.0,0
OUT_OF_STOCK,334573R,Strut,BARE,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.082,0.0,0.0,5
OUT_OF_STOCK,334573L,Strut,BARE,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.115,0.0,0.0,7
REORDER_NOW,333298,Strut,BARE,,2.0,0.0,2.0,0.0,9.0,9.0,1.0,0.016,0.0,0.0,9
REORDER_NOW,343330,Shock,BARE,,4.0,160.0,4.0,0.0,125.0,125.0,29.0,0.475,0.0,0.0,0
REORDER_NOW,2333816L,Complete Strut,FCS,,3.0,0.0,3.0,0.0,19.0,19.0,3.0,0.049,0.0,0.0,19
REORDER_NOW,346425,Shock,BARE,,1.0,0.0,1.0,0.0,77.0,77.0,14.0,0.23,0.0,0.0,77
REORDER_NOW,333751R,Strut,BARE,,1.0,48.0,1.0,0.0,42.0,42.0,2.0,0.033,0.0,0.0,0
REORDER_NOW,1355039L,Complete Strut,FCS,,6.0,48.0,6.0,0.0,45.0,45.0,5.0,0.082,0.0,0.0,0
REORDER_NOW,334094R,Strut,BARE,,1.0,0.0,1.0,0.0,53.0,53.0,13.0,0.213,0.0,0.0,53
REORDER_NOW,1355045,Complete Strut,FCS,,6.0,0.0,6.0,0.0,149.0,149.0,67.0,1.098,0.0,0.0,149
REORDER_NOW,1334106L,Complete Strut,FCS,,1.0,184.0,1.0,0.0,69.0,69.0,12.0,0.197,0.0,0.0,0
